country,year,palma,ef,fossil_fuel_share,gdp_per_capita,urban_pct,trade_openness,renewable_energy,co2_per_capita,oil_rents,energy_intensity,fdi_inflows,gini_wid
Oman,2006,10.362799263351748,5.72,99.98600988878911,16930.856507185275,72.3920261203777,86.14570798541332,0.0,1474.6376178192245,40.7520000982427,6.82,3.748679074710913,0.676
Oman,2007,10.362799263351748,6.24,99.9426351014091,18792.653772481983,73.0679250158092,94.8657889777347,0.0,1545.942997143288,37.7986997972135,7.46,6.898742697143458,0.676
Oman,2008,10.362799263351748,6.09,,26576.779241508975,73.807772368029,94.76190298771606,0.0,1400.552926637939,37.9131008037865,6.02,4.22877879574812,0.676
Oman,2009,10.362799263351748,6.21,99.64960504105643,20655.918024921848,74.5338635149003,91.62793533469967,0.0,1247.8949670840848,30.5131215016084,5.79,2.721589336885187,0.676
Oman,2010,10.362799263351748,6.77,,23570.179814732484,75.1579724666274,96.38655462184875,0.0,1366.7338981790522,32.5688653439524,6.61,1.9119647859143631,0.676
Oman,2011,10.362799263351748,6.82,99.9907878576013,25188.007415188506,75.6585803514688,101.64173193994188,0.0,1203.378676366893,40.4074409203453,7.61,2.1021887521897447,0.676
Oman,2012,10.362799263351748,6.56,99.5673514319969,24642.297876859564,76.088156621068,102.07476040430008,0.0,1037.060744474405,37.5396768679582,7.55,1.5612029028198,0.676
Oman,2013,10.362799263351748,6.17,,23458.02338400529,76.4914234214313,112.5435217637737,0.0,999.0426877436645,35.9895065337986,7.35,1.7928644694682465,0.676
Oman,2014,10.362799263351748,6.03,99.98517250012846,23160.65022525467,76.8892576748951,102.27872108813001,0.0,816.5785995710235,31.6791185960483,7.25,1.3876575353227005,0.676
Oman,2015,10.362799263351748,6.16,71.47228435212755,18808.30779218389,77.3025363037955,96.37758018523475,0.0,450.8396479991403,18.8680645519097,7.16,-2.760017578467031,0.676
Oman,2016,10.362799263351748,5.88,0.0,17110.189746054482,77.7521362304688,82.86426420189012,0.0,433.3866639644135,16.2724873177614,6.59,3.0162495240073395,0.676
Oman,2017,10.362799263351748,6.01,0.0,17820.066180933452,78.3142260040136,88.95314801829562,0.0,294.40266263001087,19.3050063067708,7.05,3.560055838967622,0.676
Oman,2018,10.362799263351748,6.24,0.0,19901.76156420162,78.9655839720276,89.27921782628468,0.0,302.7898281457652,23.7087990780384,6.78,6.120679854479308,0.676
Oman,2019,10.362799263351748,6.31,0.0,19180.186415280146,79.5780017545962,86.47820103132365,0.0,211.7700079412527,21.6117797561797,6.31,2.269089233713532,0.676
Oman,2020,10.362799263351748,6.26,0.0,16784.86306300576,80.0176378922722,91.87589080144721,0.1,125.08960802253998,14.994277961787,7.18,2.515486240543792,0.676
Qatar,2005,9.415959252971136,15.87,99.95831746560032,53949.676409114654,97.3016654918171,94.7455441696331,0.0,5669.167443187061,38.1771562134119,9.11,5.614130334194989,0.6691
Qatar,2006,9.415959252971136,15.64,99.9878432018471,62582.445313875534,97.5827378795062,98.57091931357198,0.1,5438.886834878287,34.1520126219521,8.36,5.748812107702236,0.6691
Qatar,2007,9.415959252971136,14.36,99.95715645111737,65954.3419525051,97.8663125111735,96.11410571011056,0.1,4874.268983878391,30.8003611618771,8.0,5.8962199123218175,0.6691
Qatar,2008,9.390572390572391,13.79,99.95787790524923,80781.4039187792,98.1295193937322,89.43284165469049,0.1,4074.2000169854596,32.6040710093919,6.99,3.278064170092687,0.6701
Qatar,2009,9.362270450751254,12.36,99.99372460931048,60785.73515516575,98.3494885340955,80.14416297270117,0.1,3444.370999668087,23.0165618959946,6.59,8.307641307916604,0.6711
Qatar,2010,9.334437086092716,13.49,,76462.61194867358,98.5066232166665,87.1111970364642,0.1,3169.6222613545974,26.6026039782648,6.26,3.7777525924938278,0.672
Qatar,2011,9.319078947368421,14.17,,103261.51029306755,98.6300610210909,98.72163510189912,0.1,2781.9387034935744,29.9468705202351,5.55,0.5593890309840148,0.6729
Qatar,2012,9.288743882544862,15.05,,108470.38702322898,98.7428010471968,105.74628643353516,0.0,2560.0189478905936,28.3389822463275,7.32,0.21188870622902808,0.6737000000000001
Qatar,2013,9.288743882544862,14.38,,103697.06278914357,98.8357621827901,102.3831543790237,0.0,2249.0363552265494,25.3595869913171,7.42,-0.4228823740027563,0.6737000000000001
Qatar,2014,9.288743882544862,13.95,,95840.68989342384,98.901627838826,99.03431389527589,0.0,2139.382274141233,21.5388184142326,6.83,0.5044907268023494,0.6737000000000001
Qatar,2015,9.288743882544862,13.07,52.94986436393763,68985.2433380102,98.9382407681154,93.70767393708184,0.0,1023.3471346164431,13.0300594635573,6.55,0.6620997973614519,0.6737000000000001
Qatar,2016,9.288743882544862,12.24,0.0,61253.621799709115,98.9855265345423,89.54762314300974,0.1,977.2488596055764,11.1615579117458,6.2,0.5100442690180246,0.6737000000000001
Qatar,2017,9.288743882544862,12.39,0.0,63279.87674862159,99.0310125265978,91.49455747858546,0.1,612.230415477482,13.5394624768111,7.13,0.6120385197160306,0.6737000000000001
Qatar,2018,9.288743882544862,11.9,0.0,71039.93082400775,99.0755684762244,91.83834327329397,0.0,602.1817402612342,16.2911609453974,6.9,-1.1924955794647374,0.6737000000000001
Qatar,2019,9.288743882544862,12.18,0.0,66841.3623185691,99.1191696672067,90.04629341175591,0.1,418.25095977731695,14.5084244384971,6.82,-1.5947239217934166,0.6737000000000001
